date,open,high,low,close,change_pct
2004-04-08,2921.9001,2967.2,2878.1001,2919.3,1.0208
2004-04-09,2969.2,3006.4001,2871.7,2896.3,-0.7879
2004-04-12,2861.0,2918.7,2817.5,2879.6001,-0.5766
2004-04-13,2869.8,2921.3,2819.1001,2850.3,-1.0175
2004-04-14,2842.3,2872.1001,2751.2,2797.8,-1.8419
2004-04-15,2744.3,2785.6001,2682.3,2707.0,-3.2454
2004-04-16,2679.8,2732.2,2611.4001,2696.2,-0.399
2004-04-19,2646.4001,2678.5,2583.3,2611.3,-3.1489
2004-04-20,2551.7,2589.8,2500.4001,2537.0,-2.8453
2004-04-21,2498.6001,2542.1001,2445.0,2481.2,-2.1994
2004-04-22,2414.0,2456.8,2377.6001,2429.4001,-2.0877
2004-04-23,2364.2,2388.3,2305.9001,2327.2,-4.2068
2004-04-26,2255.6001,2295.6001,2217.4001,2256.4001,-3.0423
2004-04-27,2220.1001,2251.2,2166.0,2190.9001,-2.9029
2004-04-28,2151.6001,2191.1001,2108.3,2156.7,-1.561
2004-04-29,2127.0,2154.4001,2066.2,2085.2,-3.3153
2004-04-30,2055.6001,2099.3,2017.1,2060.3,-1.1941
2004-05-10,1990.3,2006.9,1921.7001,1939.2001,
2004-05-11,1867.6,1904.4,1841.0,1881.6,-2.9703
2004-05-12,1848.5,1905.4,1835.0,1897.3,0.8344
2004-05-13,1845.8,1861.8,1813.4,1839.0,-3.0728
2004-05-14,1789.3,1800.7001,1734.5,1751.0,-4.7852
2004-05-17,1692.1,1719.8,1663.3,1688.6,-3.5637
2004-05-18,1696.4,1736.0,1668.7001,1721.3,1.9365
2004-05-19,1712.9,1743.1,1687.6,1710.3,-0.6391
2004-05-20,1669.0,1692.3,1640.2001,1657.0,-3.1164
2004-05-21,1609.9,1635.1,1590.3,1618.1,-2.3476
2004-05-24,1573.4,1589.4,1543.9,1558.8,-3.6648
2004-05-25,1532.3,1542.8,1485.9,1497.2001,-3.9518
2004-05-26,1454.9,1482.8,1438.1,1466.4,-2.0572
2004-05-27,1469.4,1517.8,1454.0,1505.1,2.6391
2004-05-28,1482.0,1498.5,1460.3,1472.9,-2.1394
2004-05-31,1435.8,1456.4,1421.0,1444.6,-1.9214
2004-06-01,1468.5,1506.1,1456.4,1497.7001,3.6758
2004-06-02,1522.7001,1542.5,1495.2001,1514.5,1.1217
2004-06-03,1507.4,1522.7001,1471.0,1487.9,-1.7564
2004-06-04,1466.9,1496.1,1448.1,1470.5,-1.1694
2004-06-07,1441.4,1453.4,1404.9,1425.0,-3.0942
2004-06-08,1404.7001,1422.2001,1375.7001,1389.6,-2.4842
2004-06-09,1386.9,1404.7001,1337.3,1351.3,-2.7562
2004-06-10,1335.6,1362.4,1309.1,1333.5,-1.3173
2004-06-11,1326.9,1366.1,1312.0,1326.8,-0.5024
2004-06-14,1315.1,1325.2001,1264.9,1283.8,-3.2409
2004-06-15,1268.4,1307.0,1251.1,1294.7001,0.849
2004-06-16,1289.8,1318.0,1270.6,1296.6,0.1467
2004-06-17,1277.2001,1293.2001,1243.7001,1254.2001,-3.2701
2004-06-18,1246.4,1264.6,1215.6,1239.1,-1.204
2004-06-21,1207.1,1234.8,1191.7001,1224.9,-1.146
2004-06-22,1231.9,1260.0,1217.5,1244.8,1.6246
2004-06-23,1223.5,1233.0,1195.2001,1214.9,-2.402
2004-06-24,1202.8,1220.5,1182.2001,1192.0,-1.8849
2004-06-25,1220.6,1244.1,1177.9,1189.7001,-0.1929
2004-06-28,1166.4,1182.5,1133.9,1149.9,-3.3454
2004-06-29,1155.3,1182.2001,1127.0,1168.0,1.574
2004-06-30,1156.8,1173.1,1135.0,1146.0,-1.8836
2004-07-01,1174.2001,1229.5,1166.0,1217.9,6.274
2004-07-02,1217.9,1236.3,1195.8,1218.2001,0.0246
2004-07-05,1205.8,1221.0,1187.0,1210.5,-0.6321
2004-07-06,1221.9,1249.3,1211.6,1228.1,1.4539
2004-07-07,1206.0,1215.6,1183.0,1195.7001,-2.6382
2004-07-08,1167.9,1183.4,1153.4,1172.9,-1.9068
2004-07-09,1147.9,1162.9,1130.5,1137.8,-2.9926
2004-07-12,1119.8,1125.3,1081.2001,1092.1,-4.0165
2004-07-13,1067.8,1086.4,1053.1,1073.2001,-1.7306
2004-07-14,1079.4,1095.4,1049.3,1077.9,0.4379
2004-07-15,1106.8,1133.4,1090.8,1119.3,3.8408
2004-07-16,1219.5,1268.3,1209.7001,1254.4,12.07
2004-07-19,1274.2001,1294.7001,1256.3,1277.9,1.8734
2004-07-20,1284.3,1298.6,1259.3,1276.7001,-0.0939
2004-07-21,1274.2001,1293.4,1254.9,1274.8,-0.1488
2004-07-22,1293.3,1308.9,1250.1,1261.3,-1.059
2004-07-23,1250.6,1273.5,1228.4,1263.4,0.1665
2004-07-26,1237.7001,1249.5,1208.0,1223.3,-3.174
2004-07-27,1207.4,1224.9,1181.5,1200.3,-1.8802
2004-07-28,1190.5,1212.4,1170.7001,1198.7001,-0.1333
2004-07-29,1201.9,1227.5,1188.2001,1219.5,1.7352
2004-07-30,1204.7001,1215.1,1174.9,1183.2001,-2.9766
2004-08-02,1151.1,1167.1,1130.5,1147.4,-3.0257
2004-08-03,1131.1,1151.0,1115.1,1130.4,-1.4816
2004-08-04,1175.3,1228.5,1164.3,1208.6,6.9179
2004-08-05,1202.9,1218.5,1180.4,1189.3,-1.5969
2004-08-06,1177.7001,1196.7001,1157.2001,1174.4,-1.2528
2004-08-09,1153.2001,1170.2001,1135.7001,1156.0,-1.5668
2004-08-10,1128.4,1144.4,1117.3,1133.6,-1.9377
2004-08-11,1112.3,1120.4,1087.9,1097.0,-3.2287
2004-08-12,1081.0,1090.1,1056.2001,1073.0,-2.1878
